link,title,pubDate,description,thumbnail,topic,source
https://www.antaranews.com/berita/3867669/bri-disebut-jadi-game-changer-yang-ubah-daya-saing-ekonomi,"BRI disebut jadi ""game-changer"" yang ubah daya saing ekonomi",2023-12-12T09:11:56.000Z,"Inisiatif Sabuk dan Jalur Sutra (Belt and Road Initiative/BRI) secara luas dianggap sebagai game-changer yang mentransformasi daya saing ekonomi negara-negara mitranya, ujar Ong Tee Keat, Presiden Kaukus Inisiatif Sabuk dan Jalur ...",https://img.antaranews.com/cache/800x533/2023/12/12/CjkinzN007061_20231212_CBMFN0A001.jpg,terbaru,antara
https://www.antaranews.com/berita/3867666/kkp-usulkan-satelit-hingga-drone-bawah-air-dukung-kesiapan-pit,KKP usulkan satelit hingga drone bawah air dukung kesiapan PIT,2023-12-12T09:09:43.000Z,"Kementerian&nbsp;Kelautan dan Perikanan&nbsp;menyiapkan satelit nano, kapal dengan drone atau pesawat nirawak serta pesawat nirawak yang mampu menyelam ke dalam perairan (underwater drone) pada 2024 untuk mendukung kesiapan ...",https://img.antaranews.com/cache/800x533/2023/12/12/Screenshot_20231212_160107_Gallery.jpg,terbaru,antara
https://www.antaranews.com/berita/3867663/provinsi-heilongjiang-alami-panen-raya-biji-bijian-tahun-ini,Provinsi Heilongjiang alami panen raya biji-bijian tahun ini,2023-12-12T09:09:20.000Z,"Produksi biji-bijian di Provinsi Heilongjiang, China timur laut, yang dikenal sebagai &quot;lumbung biji-bijian&quot;, mencapai sekitar 77,88 miliar kilogram pada tahun 2023 atau sekitar 11,2 persen dari total produksi negara ...",https://img.antaranews.com/cache/800x533/2023/12/12/CjkinzN007049_20231212_CBMFN0A001.jpg,terbaru,antara
https://www.antaranews.com/berita/3867660/tata-power-mengajak-semua-pihak-merangkul-ibu-pertiwi-mencintai-planet-kita-serta-beralih-ke-energi-hijau-dan-bersih,"Tata Power mengajak semua pihak Merangkul Ibu Pertiwi, Mencintai Planet Kita, serta Beralih ke Energi Hijau dan Bersih",2023-12-12T09:08:48.000Z,"&nbsp;Tata Power, salah satu perusahaan listrik terintegrasi terbesar di&nbsp;India&nbsp;telah meluncurkan sebuah film merek terbaru -&nbsp;'DuniyaApneHawale'&nbsp;yang mempromosikan pesan ""Rangkul Ibu Pertiwi. Cintai Planet ...",https://img.antaranews.com/cache/800x533/2023/12/12/Untitled-design-1.jpg,terbaru,antara
https://www.antaranews.com/berita/3867657/pemda-riau-peroleh-dana-rp35-triliun-dari-pertamina,"Pemda Riau peroleh dana Rp3,5 triliun dari Pertamina",2023-12-12T09:08:29.000Z,"Pemerintah Provinsi Riau memperoleh dana dari saham partisipasi&nbsp;sebesar 10 persen dari PT Pertamina Hulu Rokan (PHR) dan pencairan dana diserahkan melalui PT Riau Petrolium Rokan (RPR) sebesar Rp3,5 triliun melalui dua tahap ...",https://img.antaranews.com/cache/800x533/2023/12/12/1211-2023-Edy-Natar.jpg,terbaru,antara
https://www.antaranews.com/berita/3867654/xi-china-akan-pertahankan-kebijakan-bertetangga-yang-konsisten,Xi: China akan pertahankan kebijakan bertetangga yang konsisten,2023-12-12T09:08:17.000Z,"China akan mempertahankan kebijakan bertetangga (neighborhood policy) yang konsisten dan stabil, membawa lebih banyak manfaat bagi negara-negara tetangganya melalui modernisasi China dan bersama-sama memajukan proses modernisasi ...",https://img.antaranews.com/cache/800x533/2023/12/12/CjkinzN007050_20231212_CBMFN0A001.jpg,terbaru,antara
https://www.antaranews.com/video/3867588/polresta-pangkalpinang-gagalkan-peredaran-4kg-sabu-untuk-tahun-baru,Polresta Pangkalpinang gagalkan peredaran 4kg sabu untuk tahun baru,2023-12-12T09:06:44.000Z,"ANTARA - Polresta Kota Pangkalpinang &nbsp;berhasil menggagalkan peredaran narkotika jenis sabu seberat 4 kilo gram. Kapolresta Kota Pangkalpinang Gatot Yulianto dalam konferensi pers di Pangkalpinang, Selasa (12/11) menyebut ...",https://img.antaranews.com/cache/800x533/2023/12/POLRESTA-PANGKALPINANG-GAGALKAN-PEREDARAN-4KG-SABU-UNTUK-TAHUN-BARU.jpg,terbaru,antara
https://www.antaranews.com/berita/3867651/menkes-harap-perusahaan-teknologi-buka-pusat-riset-kesehatan,Menkes harap perusahaan teknologi buka pusat riset kesehatan,2023-12-12T09:06:15.000Z,Menteri Kesehatan Budi Gunadi Sadikin mengimbau perusahaan yang ingin menempatkan teknologi pelayanan kesehatan di Indonesia dapat membuka pusat riset dan pengembangan di sini agar bisa melatih para dokter dalam mengembangkan ...,https://img.antaranews.com/cache/800x533/2023/12/12/20231212_123859.jpg,terbaru,antara
https://www.antaranews.com/foto/3867648/memanen-energi-matahari-di-pulau-mecan-batam,Memanen energi matahari di Pulau Mecan Batam,2023-12-12T09:04:33.000Z,"Petugas merawat panel surya Pembangkit Listrik Tenaga Surya (PLTS) Pulau Mecan, Batam, Kepulauan Riau, Selasa (12/12/2023). PLTS berkapasitas 15 kWp bantuan Kementerian Energi dan Sumber Daya Mineral (ESDM) itu untuk memenuhi ...",https://img.antaranews.com/cache/800x533/2023/12/12/IMG_20231212_155923.jpg,terbaru,antara
https://www.antaranews.com/berita/3867645/china-rilis-peta-global-pertama-terkait-amonia-di-atmosfer,China rilis peta global pertama terkait amonia di atmosfer,2023-12-12T09:04:15.000Z,Tim peneliti China memperoleh kolom pertama peta global amonia atmosfer (NH3) yang diamati oleh satelit meteorologi Fengyun yang menunjukkan kemampuan satelit itu dalam mendeteksi konsentrasi amonia global secara kuantitatif. ...,https://img.antaranews.com/cache/800x533/2023/12/12/CjkinzN007067_20231212_CBMFN0A001.jpg,terbaru,antara
https://www.antaranews.com/berita/3867642/pemprov-babel-bantu-pulihkan-psikologis-nurlela-korban-kdrt-tempilang,"Pemprov Babel bantu pulihkan psikologis Nurlela, korban KDRT Tempilang",2023-12-12T09:02:23.000Z,"Pemerintah Provinsi (Pemprov) Kepulauan Bangka Belitung melakukan pemulihan psikologis korban Kekerasan Dalam Rumah Tangga (KDRT) Nurlela (34), warga Desa Tempilang, Kabupaten Bangka Barat, agar kembali pulih dari kekerasan yang ...",https://img.antaranews.com/cache/800x533/2023/12/12/kdrt.jpg,terbaru,antara
https://www.antaranews.com/berita/3867639/pengurus-koni-kapuas-berkomitmen-tingkatkan-prestasi-olahraga,Pengurus KONI Kapuas berkomitmen tingkatkan prestasi olahraga,2023-12-12T09:02:19.000Z,"Pengurus Komite Olahraga Nasional Indonesia (KONI) Kabupaten Kapuas, Kalimantan Tengah, masa bakti 2023-2027 berkomitmen akan bekerja untuk meningkatkan prestasi olahraga setempat. &quot;Kami menyampaikan terima kasih atas ...",https://img.antaranews.com/cache/800x533/2023/12/12/koni-kapuas.jpg,terbaru,antara
https://www.antaranews.com/berita/3867636/jarnas-98-penampilan-debat-prabowo-gibran-tambah-tingkat-keterpilihan,Jarnas 98: Penampilan debat Prabowo-Gibran tambah tingkat keterpilihan,2023-12-12T09:01:43.000Z,Ketua Umum Jaringan Nasional Aktivis (Jarnas) 98 Sangap Surbakti menilai penampilan debat perdana calon presiden dan wakil presiden Prabowo Subianto dan Gibran Rakabuming akan menambah tingkat keterpilihan pada Pemilu ...,https://img.antaranews.com/cache/800x533/2023/10/14/Mubes-aktivis-edit.jpg,terbaru,antara
https://www.antaranews.com/berita/3867633/airlangga-debat-capres-cawapres-bukan-soal-untung-rugi,Airlangga: Debat capres-cawapres bukan soal untung rugi,2023-12-12T09:01:30.000Z,"Ketua Umum Partai Golkar Airlangga Hartarto&nbsp;mengatakan debat capres-cawapres selama masa kampanye Pilpres 2024 bukan persoalan tentang untung atau rugi. &quot;Debat kan bukan untung (atau) rugi,&quot; kata ...",https://img.antaranews.com/cache/800x533/2023/12/12/Screenshot_2023-12-12-15-54-56-71_6012fa4d4ddec268fc5c7112cbb265e7.jpg,terbaru,antara
https://www.antaranews.com/berita/3867630/kemenperin-pelaku-ikm-harus-perkuat-branding-di-era-digital,Kemenperin: Pelaku IKM harus perkuat branding di era digital,2023-12-12T09:00:34.000Z,"Kementerian Perindustrian (Kemenperin) mengingatkan pelaku industri kecil dan menengah (IKM) agar terus memperkuat &ldquo;branding&rdquo; di era digital. Direktur Jenderal Industri Kecil, Menengah dan Aneka (IKMA) Kemenperin ...",https://img.antaranews.com/cache/800x533/2023/09/22/2209-2023-Halal1.jpg,terbaru,antara
https://www.antaranews.com/berita/3867627/vantage-markets-raih-tiga-penghargaan-di-ajang-professional-trader-awards-2023,Vantage Markets Raih Tiga Penghargaan di Ajang Professional Trader Awards 2023,2023-12-12T08:59:11.000Z,"Port Vil, Vanuatu,&nbsp;(ANTARA/PRNewswire)&nbsp;- Pialang multiaset,&nbsp;Vantage&nbsp;(atau Vantage Markets), gembira meraih tiga penghargaan bergengsi di Professional Trader Awards&nbsp;2023, memperkuat statusnya sebagai ...",https://img.antaranews.com/cache/800x533/2023/12/12/Untitled-design.jpg,terbaru,antara
https://www.antaranews.com/berita/3867624/korban-kabel-serat-optik-gunakan-alat-elektrolaring-untuk-berbicara,Korban kabel serat optik gunakan alat elektrolaring untuk berbicara,2023-12-12T08:58:27.000Z,"Korban kecelakaan kabel serat optik (FO), Sultan Rif&#39;at Alfatih&nbsp;sampai saat ini masih harus menggunakan alat bantu elektrolaring untuk berbicara. Ketua Tim Penanganan Sultan dr. Yosita Rahma saat jumpa pers di RS ...",https://img.antaranews.com/cache/800x533/2023/12/12/IMG-20231212-WA0060_1.jpg,terbaru,antara
https://www.antaranews.com/berita/3867621/pj-bupati-banyumas-ingatkan-empat-hal-dalam-pengendalian-inflasi,Pj Bupati Banyumas ingatkan empat hal dalam pengendalian inflasi,2023-12-12T08:57:36.000Z,Penjabat (Pj) Bupati Banyumas Hanung Cahyo Saputro mengingatkan empat hal dalam upaya pengendalian inflasi di daerahnya terutama pada momentum Natal 2023 dan Tahun Baru 2024. &quot;Pengendalian inflasi merupakan salah satu ...,https://img.antaranews.com/cache/800x533/2023/12/12/TPID-meeting.jpeg,terbaru,antara
https://www.antaranews.com/berita/3867618/bnn-ri-gelar-acara-penyerahan-pataka-ke-kepala-bnn-baru,BNN RI gelar acara penyerahan Pataka ke Kepala BNN baru,2023-12-12T08:55:28.000Z,"Untuk pertama kalinya, Badan Narkotika Nasional Republik Indonesia (BNN RI) menggelar upacara penyerahan Pataka BNN RI dari pejabat lama Komjen Pol Petrus Reinhard Golose kepada pejabat baru Irjen Pol. Marthinus Hukom di Lapangan ...",https://img.antaranews.com/cache/800x533/2023/12/12/IMG-20231212-WA0013_1.jpg,terbaru,antara
https://www.antaranews.com/berita/3867615/dpmd-mukomuko-minta-kades-data-ulang-penerima-blt-dana-desa,DPMD Mukomuko minta kades data ulang penerima BLT Dana Desa,2023-12-12T08:55:03.000Z,"Dinas Pemberdayaan Masyarakat dan Desa&nbsp;Kabupaten Mukomuko, Provinsi Bengkulu, meminta para kepala desa mendata ulang warga miskin penerima Bantuan Langsung Tunai Dana Desa (BLT-DD)&nbsp;karena diduga masih ada&nbsp;yang ...",https://img.antaranews.com/cache/800x533/2023/12/12/IMG_20231128_141523.jpg,terbaru,antara
https://www.antaranews.com/berita/3867636/jarnas-98-penampilan-debat-prabowo-gibran-tambah-tingkat-keterpilihan,Jarnas 98: Penampilan debat Prabowo-Gibran tambah tingkat keterpilihan,2023-12-12T09:01:43.000Z,Ketua Umum Jaringan Nasional Aktivis (Jarnas) 98 Sangap Surbakti menilai penampilan debat perdana calon presiden dan wakil presiden Prabowo Subianto dan Gibran Rakabuming akan menambah tingkat keterpilihan pada Pemilu ...,https://img.antaranews.com/cache/800x533/2023/10/14/Mubes-aktivis-edit.jpg,politik,antara
https://www.antaranews.com/berita/3867633/airlangga-debat-capres-cawapres-bukan-soal-untung-rugi,Airlangga: Debat capres-cawapres bukan soal untung rugi,2023-12-12T09:01:30.000Z,"Ketua Umum Partai Golkar Airlangga Hartarto&nbsp;mengatakan debat capres-cawapres selama masa kampanye Pilpres 2024 bukan persoalan tentang untung atau rugi. &quot;Debat kan bukan untung (atau) rugi,&quot; kata ...",https://img.antaranews.com/cache/800x533/2023/12/12/Screenshot_2023-12-12-15-54-56-71_6012fa4d4ddec268fc5c7112cbb265e7.jpg,politik,antara
https://www.antaranews.com/berita/3867609/prabowo-gibran-tingkatkan-hak-digital-dengan-perbaiki-akses-internet,Prabowo-Gibran tingkatkan hak digital dengan perbaiki akses internet,2023-12-12T08:52:16.000Z,"Pasangan Calon Presiden dan Wakil Presiden RI Prabowo Subianto-Gibran Rakabuming Raka akan meningkatkan hak asasi di bidang digital dengan memperbaiki akses internet untuk masyarakat.
&nbsp; &quot;Hak digital mencakup hak ...",https://img.antaranews.com/cache/800x533/2023/12/12/Prabowo.jpg,politik,antara
https://www.antaranews.com/berita/3867603/diremehkan-jelang-debat-golkar-gibran-akan-lebih-dari-ekspektasi,"Diremehkan jelang debat, Golkar: Gibran akan lebih dari ekspektasi",2023-12-12T08:49:11.000Z,"Ketua DPD Partai Golkar Jawa Timur Sarmuji mengatakan calon wakil presiden&nbsp;Gibran Rakabuming Raka akan menunjukkan kemampuannya melebihi harapan masyarakat dalam debat perdana, meskipun ada komentar yang meremehkan kemampuan ...",https://img.antaranews.com/cache/800x533/2023/12/12/IMG_1109_1.jpeg,politik,antara
https://www.antaranews.com/berita/3867573/kpu-sumut-rekrut-321125-anggota-kpps-pada-pemilu-2024,KPU Sumut rekrut 321.125 anggota KPPS pada Pemilu 2024,2023-12-12T08:36:51.000Z,Komisi Pemilihan Umum (KPU) Provinsi Sumatera Utara(Sumut) membuka penerimaan kelompok penyelenggara pemungutan suara (KPPS) pada Pemilu 2024 sebanyak 321.125 untuk ditempatkan di seluruh kabupaten/kota di wilayah ...,https://img.antaranews.com/cache/800x533/2023/12/12/KPU-Sumut_1.jpg,politik,antara
https://www.antaranews.com/berita/3867564/jokowi-terbitkan-perpres-atur-insentif-impor-kendaraan-listrik,Jokowi terbitkan Perpres atur insentif impor kendaraan listrik,2023-12-12T08:30:36.000Z,Presiden Joko Widodo menerbitkan Peraturan Presiden (Perpres) yang mengatur pemberian insentif untuk importasi kendaraan bermotor listrik (KBL) berbasis baterai dalam keadaan utuh (completely build-up/CBU). Ketentuan itu ...,https://img.antaranews.com/cache/800x533/2023/08/14/IMG-20230813-WA0101.jpg,politik,antara
https://www.antaranews.com/berita/3867507/jubir-amin-tanggapi-hasil-survei-litbang-kompas,Jubir AMIN tanggapi hasil survei Litbang Kompas,2023-12-12T08:10:35.000Z,"Juru Bicara (Jubir) Tim Nasional (Timnas) Pemenangan&nbsp;Anies-Muhaimin (AMIN),&nbsp;Sahrin Hamid, menanggapi hasil survei Litbang Kompas yang menempatkan pasangan Anies Baswedan-Muhaimin Iskandar di peringkat ...",https://img.antaranews.com/cache/800x533/2023/12/12/WhatsApp-Image-2023-12-11-at-17.40.58.jpeg,politik,antara
https://www.antaranews.com/video/3867426/pada-hakordia-2023-presiden-minta-uu-perampasan-aset-segera-disahkan,"Pada Hakordia 2023, Presiden minta UU Perampasan Aset segera disahkan",2023-12-12T08:01:25.000Z,"ANTARA - Presiden Joko Widodo menyatakan pemberantasan korupsi di Indonesia harus dievaluasi total, pasalnya intensitas kasus korupsi di Indonesia terus meningkat dan hukuman yang dijatuhkan tidak membuat efek jera. Pada acara ...",https://img.antaranews.com/cache/800x533/2023/12/AB_PADA-HAKORDIA-2023-PRESIDEN-MINTA-UU-PERAMPASAN-ASET-SEGERA-DISAHKAN.jpg,politik,antara
https://www.antaranews.com/foto/3867477/rapat-kerja-badan-pengelola-keuangan-haji-di-istana-negara,Rapat kerja Badan Pengelola Keuangan Haji di Istana Negara,2023-12-12T07:51:24.000Z,"Presiden Joko Widodo (kanan) menyampaikan pengarahan dalam Rapat Kerja Tahun 2023 dan Milad ke-6 Badan Pengelola Keuangan Haji di Istana Negara, Jakarta, Selasa (12/12/2023). ANTARA FOTO/Sigid Kurniawan/wpa.",https://img.antaranews.com/cache/800x533/2023/12/12/rapat-kerja-badan-pengelola-keuangan-haji-121223-sgd-4.jpg,politik,antara
https://www.antaranews.com/berita/3867468/tkn-sebut-opini-negatif-ke-jokowi-untuk-naikkan-elektoral-pihak-lain,TKN sebut opini negatif ke Jokowi untuk naikkan elektoral pihak lain,2023-12-12T07:39:58.000Z,"Wakil Ketua Tim Kampanye Nasional (TKN) Prabowo-Gibran, Habiburokhman, mengatakan opini negatif yang dilayangkan kepada Presiden Joko Widodo dilakukan sebagai upaya menaikkan angka elektoral pihak tertentu. &quot;Opini yang ...",https://img.antaranews.com/cache/800x533/2023/12/12/IMG_1109.jpeg,politik,antara
https://www.antaranews.com/berita/3867441/pt-di-bidik-pasar-thailand-untuk-penjualan-nc-212i,PT DI bidik pasar Thailand untuk penjualan NC-212i,2023-12-12T07:16:42.000Z,PT Dirgantara Indonesia (DI) membidik Thailand untuk memperluas cakupan penjualan pesawat angkut ringan NC-212i di pasar Asia Tenggara. Direktur Utama PT DI Gita Amperiawan saat ditemui di Pangkalan Udara (Lanud) Halim ...,https://img.antaranews.com/cache/800x533/2023/12/12/AA717918-5D78-46AE-8FD7-D711A3790EDA.jpeg,politik,antara
